Nombre;Partido;Comisión;Twitter;
ESPERANZA MARIA PINZON DE JIMENEZ;Partido Centro Democratico;Septima;@EsperanzaPdeJ;
MARIA FERNANDA CABAL MOLINA;Partido Centro Democratico;Primera;@MariaFdaCabal;
TATIANA  CABELLO FLOREZ;Partido Centro Democratico;Segunda;@Tatacabello;
EDWARD DAVID RODRIGUEZ RODRIGUEZ;Partido Centro Democratico;Primera;@EDR_CD;
SAMUEL ALEJANDRO HOYOS MEJIA;Partido Centro Democratico;Primera;@SHOYOS;
CARLOS EDUARDO GUEVARA VILLABON;Movimiento MIRA;Sexta;@carlos_guevara;
ANGELA MARIA ROBLEDO GOMEZ;Partido Alianza Verde;Septima;@angelamrobledo;
ANGELICA LISBETH LOZANO CORREA;Partido Alianza Verde;Primera;@AngelicaLozanoC;
INTI RAUL ASPRILLA REYES;Partido Alianza Verde;Quinta;@intiasprilla;
RODRIGO  LARA RESTREPO;Partido Cambio Radical;Primera;@Rodrigo_Lara_;
TELESFORO  PEDRAZA ORTEGA;Partido Conservador Colombiano;Primera;@TelesforoC102;
CLARA LETICIA ROJAS GONZALEZ;Partido Liberal Colombiano;Primera;@CLARAROJASG;
OLGA LUCIA VELASQUEZ NIETO;Partido Liberal Colombiano;Tercera;@OlgaLVelasquez;
ANDRES FELIPE VILLAMIZAR ORTIZ;Partido Liberal Colombiano;Primera;@afvillamizar;
ALIRIO  URIBE MUÑOZ;Partido Polo Democratico Alternativo;Segunda;@AlirioUribeMuoz;
CARLOS GERMAN NAVAS TALERO;Partido Polo Democratico Alternativo;Primera;@GNavasTalero;
CARLOS ARTURO CORREA MOJICA;Partido Social de Unidad Nacional;Primera;@carlosacorream;
EFRAIN ANTONIO TORRES MONSALVO;Partido Social de Unidad Nacional;Segunda;efraintorresmon;
