CONCEJAL;CUENTA TWITTER;COMISIÓN;PARTIDO
Juan Carlos Flórez;@Juan_Florez;Hacienda y Crédito Público;Partido ASI
Jairo Cardozo;@JairoCardozoS;Plan de Desarrollo y Ordenamiento Territorial;Mira
Gloria Stella Díaz;@gloria_stella;Plan de Desarrollo y Ordenamiento Territorial;Mira
Hollman Morris;@HOLLMANMORRIS;Plan de Desarrollo y Ordenamiento Territorial;Progresistas
Xinia Navarro;@XiniaNavarro;Plan de Desarrollo y Ordenamiento Territorial;Polo Democrático
Manuel Sarmiento;@mjsarmientoa;Hacienda y Crédito Público;Polo Democrático
Venus Silva;@venus_silva;Hacienda y Crédito Público;Polo Democrático
Álvaro Argote Muñoz;@alvaroargote;Gobierno;Polo Democrático
Celio Nieves;@CONCEJALCELIO;Gobierno;Polo Democrático
Marco Fidel Ramírez;@7MarcoFidelR;Hacienda y Crédito Público;Opción Ciudadana
David Ballén;@DavidBallen_bog;Plan de Desarrollo y Ordenamiento Territorial;Partido de la U
Ricardo Correa;@RicardoCorrea45;Gobierno;Partido de la U
Rubén Darío Torrado;@ConcejalRuben;Gobierno;Partido de la U
Nelly Mosquera;@PatriciaMosq;Gobierno;Partido de la U
Roger Carrillo;@Carrillo_Concej;Plan de Desarrollo y Ordenamiento Territorial;Partido Conservador
Nelson Cubides;@nelsoncubides;Gobierno;Partido Conservador
Gloria Elsy Díaz;@GloriaDiazM;Hacienda y Crédito Público;Partido Conservador
Hosman Martínez;@hosman_martinez ?;Gobierno;Partido Alianza Verde
María Fernanda Rojas;@MaFeRojas;Plan de Desarrollo y Ordenamiento Territorial;Partido Alianza Verde
Edward Arias;@EdAriasConcejal;Plan de Desarrollo y Ordenamiento Territorial;Partido Alianza Verde
Jorge Torres;@Jorgebta;Gobierno;Partido Alianza Verde
María Clara Name;@MariaClaraName;Hacienda y Crédito Público;Partido Alianza Verde
Lucía Bastidas;@luciabastidasu;Hacienda y Crédito Público;Partido Alianza Verde
Álvaro Acevedo;@AlvaroAcevedo_L;Hacienda y Crédito Público;Partido Liberal
Jorge Durán Silva;@HCJorgeDuran;Hacienda y Crédito Público;Partido Liberal
Armando Gutiérrez;@MandyGutierrezG;Gobierno;Partido Liberal
María Victoria Vargas;@VargasSilvaMV;Gobierno;Partido Liberal
Germán García;@German_garciaM;Plan de Desarrollo y Ordenamiento Territorial;Partido Liberal
Luz Marina Gordillo;@gordillo_luz;Plan de Desarrollo y Ordenamiento Territorial;Partido Liberal
Emel Rojas;@EmelRojasC;Hacienda y Crédito Público;Partido Libres
Pedro Javier Santiesteban;@santiestebanCD;Gobierno;Partido Centro Democrático
Diego Devia;@DiegoDeviaT;Gobierno;Partido Centro Democrático
Andrés Forero;@AForeroM;Hacienda y Crédito Público;Partido Centro Democrático
Diego Molano;@Diego_Molano;Hacienda y Crédito Público;Partido Centro Democrático
Daniel Palacios;@DanielPalam;Plan de Desarrollo y Ordenamiento Territorial;Partido Centro Democrático
Ángela Garzón;@angelagarzonc;Plan de Desarrollo y Ordenamiento Territorial;Partido Centro Democrático
Rolando González;@RolandoGonGa;Plan de Desarrollo y Ordenamiento Territorial;Partido Cambio Radical
Juan Felipe Grillo;@jfgrillo;Gobierno;Partido Cambio Radical
José David Castellanos;@JDCastellanosO;Hacienda y Crédito Público;Partido Cambio Radical
Pedro Julián López;@Jlopez;Gobierno;Partido Cambio Radical
Yefer Vega;@Yefer_Vega;Gobierno;Partido Cambio Radical
César García;@cesargarciav;Hacienda y Crédito Público;Partido Cambio Radical
Jorge Lozada;@concejallozada;Hacienda y Crédito Público;Partido Cambio Radical
Julio César Acosta;@JULIOC_ACOSTA;Plan de Desarrollo y Ordenamiento Territorial;Partido Cambio Radical
Roberto Hinestrosa;@robertohin;Plan de Desarrollo y Ordenamiento Territorial;Partido Cambio Radical
