Entidad;Cuenta Twitter
;@BogotaTransito
Policia de Transito y Bogotá;@TransitoBta
IDU;@Bocarejo_JP
Transmilenio;@TransMilenio
Alcaldia de Bogota;@Bogota
Concejo de Bogota;@ConcejoDeBogota
UAESP;@Uaesp
Camara de Comercio Bogota;@camaracomerbog ?
Veeduria Bogota;@VeeduriaBogota ?
Fundación ProBogota;@ProBogotaRegion ?
Instituto Distrital de Turismo;@IDTBogota
Secretaría de Seguridad, convivencia y justicia;@SeguridadBOG
Secretaría de gestión jurídica;
Secretaría de Gestión Pública;
Secretaría de Gobierno;@GobiernoBTA ?
Secretaría de Hacienda;@HaciendaBogota ?
Secretaría de Planeación;@planeacionbog
Secretaría de Desarrollo económico, industria y turismo;@DesEconomicoBog ?
Secretaría de Educación;@Educacionbogota ?
Secretaría de Salud;@SectorSalud
Secretaría de Integración social;@integracionbta
Secretaría de Cultura, recreación y deporte;@CulturaenBta
Secretaría de Ambiente;@Ambientebogota
Secretaría de Movilidad;@SectorMovilidad
Secretaría de Habitat;@habitatbogota ?
Secretaría de Mujeres;@secredistmujer
